Grandes grupos, subgrupos principais, subgrupos e grupos de base da ocupação no trabalho principal;Total;Homens;Mulheres
5.1.5.1 Supervisores de manutenção e limpeza de edifícios em escritórios, hotéis e estabelecimentos;22816;10848;11969
5.1.5.2 Governantas e mordomos domésticos;8716;401;8315
5.1.5.3 Porteiros e zeladores;686702;507068;179634
5.1.6 Outros trabalhadores de serviços pessoais;77570;53047;24524
5.1.6.1 Astrólogos, adivinhos e afins;2006;359;1646
5.1.6.2 Acompanhantes e criados particulares;1455;146;1309
5.1.6.3 Trabalhadores de funerárias e embalsamadores;10204;7928;2277
5.1.6.4 Cuidadores de animais;17823;10588;7235
5.1.6.5 Instrutores de autoescola;41562;33147;8414
5.1.6.8 Trabalhadores do sexo;3450;801;2649
5.1.6.9 Trabalhadores de serviços pessoais não classificados anteriormente;1071;77;994
5.2 Vendedores;7597912;3449990;4147922
5.2.1 Vendedores de rua e postos de mercado;392451;233098;159353
5.2.1.1 Vendedores de quiosques e postos de mercados;320386;197178;123208
5.2.1.2 Vendedores ambulantes de serviços de alimentação;72064;35920;36145
5.2.2 Comerciantes e vendedores de lojas;5596042;2677656;2918386
5.2.2.1 Comerciantes de lojas;1807696;1024707;782990
5.2.2.2 Supervisores de lojas;135514;84786;50728
5.2.2.3 Balconistas e vendedores de lojas;3652832;1568163;2084668
5.2.3 Caixas e expedidores de bilhetes;778791;137310;641481
5.2.3.0 Caixas e expedidores de bilhetes;778791;137310;641481
5.2.4 Outros vendedores;830628;401926;428702
5.2.4.1 Modelos de moda, arte e publicidade;4768;1462;3306
5.2.4.2 Demonstradores de lojas;103509;42355;61155
5.2.4.3 Vendedores a domicilio;347682;102830;244852
5.2.4.4 Vendedores por telefone;13139;4745;8393
5.2.4.5 Frentistas de posto de gasolina;184732;160349;24384
5.2.4.6 Balconistas dos serviços de alimentação;112275;35849;76425
5.2.4.9 Vendedores não classificados anteriormente;64523;54336;10187
5.3 Trabalhadores dos cuidados pessoais;1391036;159862;1231174
5.3.1 Cuidadores de crianças e ajudantes de professores;863852;86391;777461
5.3.1.1 Cuidadores de crianças;741745;61876;679869
5.3.1.2 Ajudantes de professores;122106;24515;97592
5.3.2 Trabalhadores de cuidados pessoais nos serviços de saúde;527184;73471;453713
5.3.2.1 Trabalhadores de cuidados pessoais em instituições;307047;46939;260108
5.3.2.2 Trabalhadores de cuidados pessoais a domicílios;174979;10162;164817
5.3.2.9 Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente;45158;16371;28787
5.4 Trabalhadores dos serviços de proteção e segurança;1576371;1457734;118637
5.4.1 Trabalhadores dos serviços de proteção e segurança;1576371;1457734;118637
5.4.1.1 Bombeiros;17298;15964;1334
5.4.1.2 Policiais;128606;110799;17807
5.4.1.3 Guardiões de presídios;56436;47104;9332
5.4.1.4 Guardas de segurança;1334533;1251315;83217
5.4.1.9 Trabalhadores dos serviços de proteção e segurança não classificados anteriormente;39498;32552;6947
6 Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca;7390489;5105784;2284705
6.1 Agricultores e trabalhadores qualificados da agropecuária;6883914;4689066;2194848
6.1.1 Agricultores e trabalhadores qualificados em atividades da agricultura;5236996;3531239;1705757
6.1.1.1 Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins);2131141;1452488;678652
6.1.1.2 Agricultores e trabalhadores qualificados no cultivo de hortas, viveiros e jardins;558470;323782;234688
6.1.1.4 Agricultores e trabalhadores qualificados de cultivos mistos;2547385;1754968;792417
6.1.2 Criadores e trabalhadores qualificados da pecuária;1257230;827034;430196
6.1.2.1 Criadores de gado e trabalhadores qualificados da criação de gado;900611;635492;265118
6.1.2.2 Avicultores e trabalhadores qualificados da avicultura;221654;95264;126390
6.1.2.3 Apicultores, sericicultores e trabalhadores qualificados da apicultura e sericicultura;10083;7584;2499
6.1.2.9 Outros criadores e trabalhadores qualificados da pecuária não classificados anteriormente;124882;88693;36189
6.1.3 Produtores e trabalhadores qualificados de exploração agropecuária mista;389688;330793;58895
6.1.3.0 Produtores e trabalhadores qualificados de exploração agropecuária mista;389688;330793;58895
6.2 Trabalhadores florestais qualificados, pescadores e caçadores;506575;416718;89857
6.2.1 Trabalhadores florestais qualificados e afins;79886;68446;11440
6.2.1.0 Trabalhadores florestais qualificados e afins;79886;68446;11440
6.2.2 Pescadores e caçadores;426689;348272;78417
6.2.2.1 Trabalhadores da aquicultura;12563;9875;2688
6.2.2.4 Caçadores;575;551;24
6.2.2.5 Pescadores;413551;337846;75705
7 Trabalhadores qualificados, operários e artesãos da construção, das artes mecânicas e outros ofícios;9812945;8817031;995914
7.1 Trabalhadores qualificados e operários da construção exclusive eletricistas;4502303;4281054;221250
7.1.1 Trabalhadores da construção civil em obras estruturais;3459761;3272167;187594
7.1.1.1 Construtores de casas;106255;104393;1862
7.1.1.2 Pedreiros;3010379;2831594;178785
7.1.1.3 Canteiros, cortadores e gravadores de pedras;39114;38089;1026
7.1.1.4 Trabalhadores em cimento e concreto armado;14880;14587;292
7.1.1.5 Carpinteiros;270627;265065;5562
7.1.1.9 Outros trabalhadores qualificados e operários da construção não classificados anteriormente;18506;18439;67
7.1.2 Trabalhadores qualificados da construção (acabamento);357368;346207;11161
7.1.2.1 Telhadores;7968;7846;122
7.1.2.2 Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras;38485;36716;1769
