Level;CIUO-88 Título SP;Código CIUO-88;Código CIUO-08; CIUO-08 parte;CIUO-08 Título SP;
4;Inspectores de seguridad y salud y control de calidad;3152;3117;p;Técnicos en ingeniería de minas y metalurgia;
4;Inspectores de seguridad y salud y control de calidad;3152;3257;p;Inspectores de la salud laboral,  medioambiental y afines;
4;Inspectores de seguridad y salud y control de calidad;3152;7543;;Clasificadores y probadores de productos (excluyendo alimentos y bebidas);
4;Técnicos en ciencias biológicas y afines;3211;3141;;Técnicos en ciencias biológicas (excluyendo la medicina);
4;Técnicos en ciencias biológicas y afines;3211;3212;;Técnicos de laboratorios médicos;
4;Técnicos en agronomía, zootecnia y silvicultura;3212;3142;;Técnicos agropecuarios;
4;Técnicos en agronomía, zootecnia y silvicultura;3212;3143;;Técnicos forestales;
4;Consejeros agrícolas y forestales;3213;2132;p;Agrónomos y afines;
4;Practicantes y asistentes médicos;3221;2240;;Practicantes paramédicos;
4;Practicantes y asistentes médicos;3221;3253;;Trabajadores comunitarios de la salud;
4;Practicantes y asistentes médicos;3221;3256;;Practicantes y asistentes médicos;
4;Higienistas y otro personal sanitario;3222;2263;p;Profesionales de la salud y la higiene laboral y ambiental;
4;Higienistas y otro personal sanitario;3222;3257;p;Inspectores de la salud laboral,  medioambiental y afines;
4;Técnicos en dietética y nutrición;3223;2265;;Dietistas y nutricionistas;
4;Técnicos en optometría y ópticos;3224;2267;;Optometristas;
4;Técnicos en optometría y ópticos;3224;3254;;Técnicos en optometría y ópticos;
4;Dentistas auxiliares y ayudantes de odontología;3225;3251;;Dentistas auxiliares y ayudantes de odontología;
4;Fisioterapeutas y afines;3226;2264;;Fisioterapeutas ;
4;Fisioterapeutas y afines;3226;2269;p;Profesionales de la salud no clasificados bajo otros epígrafes;
4;Fisioterapeutas y afines;3226;3255;;Técnicos y asistentes fisioterapeutas;
4;Fisioterapeutas y afines;3226;3259;p;Profesionales de la salud de nivel medio no clasificados bajo otros epígrafes;
4;Técnicos y asistentes veterinarios;3227;3240;;Técnicos y asistentes veterinarios;
4;Técnicos y asistentes farmacéuticos;3228;3213;;Técnicos y asistentes farmacéuticos;
4;Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes;3229;2230;p;Profesionales de medicina tradicional y alternativa;
4;Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes;3229;2266;;Audiólogos y logopedas;
;Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes;3229;2267;p;Optometristas;
4;Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes;3229;2269;p;Profesionales de la salud no clasificados bajo otros epígrafes;
4;Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes;3229;3259;p;Profesionales de la salud de nivel medio no clasificados bajo otros epígrafes;
4;Personal de enfermería de nivel medio;3231;3221;p;Profesionales de nivel medio de enfermería;
4;Personal de partería de nivel medio;3232;3222;p;Profesionales de nivel medio de partería;
4;Practicantes  de la medicina tradicional;3241;2230;p;Profesionales de medicina tradicional y alternativa;
4;Practicantes  de la medicina tradicional;3241;3230;p;Profesionales de nivel medio de medicina tradicional y alternativa;
4;Curanderos;3242;5169;p;Trabajadores de servicios personales no clasificados bajo otros epígrafes;
4;Maestros de nivel medio de la enseñanza primaria;3310;2341;p;Maestros de enseñanza primaria;
4;Maestros de nivel medio de la enseñanza preescolar;3320;2342;p;Maestros preescolares;
4;Maestros de nivel medio de la enseñanza especial;3330;2352;p;Educadores para necesidades especiales;
4;Otros maestros e instructores de nivel medio;3340;2353;p;Otros profesores de idiomas;
4;Otros maestros e instructores de nivel medio;3340;2355;p;Otros profesores de artes;
4;Otros maestros e instructores de nivel medio;3340;2356;p;Instructores en tecnología de la información;
4;Otros maestros e instructores de nivel medio;3340;2359;p;Profesionales de la enseñanza no clasificados bajo otros epígrafes;
4;Otros maestros e instructores de nivel medio;3340;3153;p;Pilotos de aviación y afines;
4;Otros maestros e instructores de nivel medio;3340;3423;p;Instructores de educación física y actividades recreativas;
4;Otros maestros e instructores de nivel medio;3340;3435;;Otros profesionales de nivel medio en actividades culturales y artísticas;
4;Otros maestros e instructores de nivel medio;3340;5165;;Instructores de autoescuela;
4;Agentes de bolsa, cambio y otros servicios financieros;3411;2412;p;Asesores financieros y en inversiones;
4;Agentes de bolsa, cambio y otros servicios financieros;3411;3311;;Agentes de bolsa, cambio y otros servicios financieros;
4;Agentes de seguros;3412;3321;;Agentes de seguros;
4;Agentes inmobiliarios;3413;3334;;Agentes inmobiliarios;
4;Agentes de viajes;3414;3332;p;Organizadores de conferencias y eventos;
